#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
4800,-49932.38971432708,303.93799117225876,36.35179510868867
4900,-49964.04217245526,300.24637925294013,36.35179510868867
5000,-49973.555601959415,298.92562655050597,36.35179510868867
5100,-50010.35321431875,297.6079929008799,36.35179510868867
5200,-49868.81165252772,297.6187155702122,36.35179510868867
5300,-50221.35260988699,302.06793072176873,36.35179510868867
5400,-50196.504501385694,299.08264943364543,36.35179510868867
5500,-50143.95057759317,301.5140434325367,36.35179510868867
5600,-49981.714919104306,298.9917883618277,36.35179510868867
5700,-49860.03182604681,302.16224471078834,36.35179510868867
5800,-49767.70209391852,301.0155417629431,36.35179510868867
5900,-50098.35552358976,302.8980542119335,36.35179510868867
6000,-50257.99965963005,304.4978169930157,36.35179510868867
6100,-50147.27262285735,299.55170377553725,36.35179510868867
6200,-50332.7941075778,308.50793228017375,36.35179510868867
6300,-49699.36443521848,281.5078754925627,36.35179510868867
6400,-50350.74039192821,300.8509900378882,36.35179510868867
6500,-50355.200724347094,300.85642602721424,36.35179510868867
6600,-49916.95726394506,292.4034916194426,36.35179510868867
6700,-50073.432904625166,292.4583072155842,36.35179510868867
6800,-50209.88082661716,295.34596943791644,36.35179510868867
6900,-50105.6777233699,299.22228351418477,36.35179510868867
7000,-50060.708878063706,307.14764847592346,36.35179510868867
7100,-49881.03756885234,303.9447544826761,36.35179510868867
7200,-49983.983362915744,307.9444051670047,36.35179510868867
7300,-49812.656850003754,306.3148173221313,36.35179510868867
7400,-49564.48794887208,305.5201109644321,36.35179510868867
7500,-49889.841317141545,311.4110329895656,36.35179510868867
7600,-49770.293864084386,306.0498557774396,36.35179510868867
7700,-49820.78958390019,296.5644686384771,36.35179510868867
7800,-49703.302177632555,302.10066601793034,36.35179510868867
7900,-49861.081520698186,309.0231858039397,36.35179510868867
8000,-49472.18446420779,298.6185412938922,36.35179510868867
8100,-49513.54104513519,301.79733598032664,36.35179510868867
8200,-49819.568579458166,301.6069195604472,36.35179510868867
8300,-49737.739440612415,303.64007562614796,36.35179510868867
8400,-49934.76122279125,296.2962689096634,36.35179510868867
8500,-49926.54618885344,300.99341497010187,36.35179510868867
8600,-49856.256069342606,311.1475766749375,36.35179510868867
8700,-49385.56008011942,304.2985694218448,36.35179510868867
8800,-49536.22832981833,303.86197844147114,36.35179510868867
8900,-49793.03841570643,311.97341335197206,36.35179510868867
9000,-49602.08350815783,298.5725271141949,36.35179510868867
9100,-49642.79919027636,298.34814991513537,36.35179510868867
9200,-49702.92579202013,295.18210968327514,36.35179510868867
9300,-50046.328101716026,300.69664965167647,36.35179510868867
9400,-50077.3436152006,302.07284810249143,36.35179510868867
9500,-50129.17256718402,294.5118778356124,36.35179510868867
9600,-50120.37002943209,299.16866697751584,36.35179510868867
9700,-49994.12330630642,295.6727751724548,36.35179510868867
9800,-49861.57097508327,299.34970960722166,36.35179510868867
9900,-50059.5990775727,306.28567974625173,36.35179510868867
10000,-49927.110347748036,299.3995316695337,36.35179510868867
10100,-49998.964274738755,304.91824254662475,35.522059355808096
10200,-50092.119151171515,307.39879615430004,35.38184587438041
10300,-49922.401886402215,296.6012574620005,35.24846769393941
10400,-50280.49557311146,311.1542898589568,34.47321722423523
10500,-50041.375768098,303.5016613262496,33.98763521135683
10600,-50204.18306303131,305.85045849952377,33.92231928582411
10700,-50379.03913162996,309.7748641218468,33.45373768729595
10800,-50167.76836947647,309.5128287736444,33.59112233461797
10900,-50227.72554013486,304.44212351660957,33.07208132342164
11000,-50214.30448077973,306.33841584229503,32.91341096914463
11100,-50082.24013185255,304.0460157324341,32.91341096914463
11200,-50316.900349260206,308.5643988272664,32.56191363105721
11300,-50421.45364107389,306.1250081081841,32.663821388483605
